Életkor,Nem,Osztályzat_9,Osztályzat_10,Osztályzat_11,Osztályzat_12,Történelem,Matematika,Magyar Nyelv és Irodalom,Informatika,Biológia,Fizika,Angol,Német,Informatika_emelt,Biológia_emelt,Fizika_emelt,Angol_emelt,Német_emelt,Matematika_emelt,Történelem_emelt,Magyar Nyelv és Irodalom_emelt,Szülői Végzettség,Középiskola Presztízse,Extrakurrikuláris Tevékenységek,Tanulási Szokások,Munkatapasztalat,Ajánlások Száma,Versenyeken Való Részvétel,Vármegye,Felvételi Eredmény,ID
18,0,3.75,3.5,3.5,2.75,72,78,93,87,-1,-1,72,-1,0,-1,-1,1,-1,0,1,0,1,4.96,0,4,0,2,1,Vas Vármegye,0.0,0
18,0,3.75,4.25,4.75,4.5,88,58,62,51,-1,-1,70,-1,0,-1,-1,1,-1,0,0,1,2,6.95,1,7,0,2,0,Budapest,1.0,1
18,0,4.0,4.5,4.5,2.5,64,87,43,-1,-1,74,-1,37,-1,-1,0,-1,0,1,0,0,2,3.63,0,3,0,2,0,Hajdú-Bihar Vármegye,0.0,2
18,1,3.75,3.75,3.25,4.5,73,93,87,88,-1,-1,85,-1,1,-1,-1,0,-1,0,0,1,3,8.0,0,5,0,2,1,Tolna Vármegye,1.0,3
17,1,4.5,4.0,4.25,4.5,86,98,96,92,-1,-1,85,-1,1,-1,-1,0,-1,0,0,1,1,1.0,1,5,0,2,0,Zala Vármegye,0.0,4
17,1,4.25,3.5,4.25,3.5,93,58,82,-1,-1,81,87,-1,-1,-1,0,1,-1,0,0,0,4,7.6,1,4,0,1,0,Vas Vármegye,0.0,5
19,0,4.5,4.5,4.0,4.25,93,93,67,91,-1,-1,92,-1,0,-1,-1,1,-1,0,0,0,3,8.56,1,4,0,3,0,Budapest,1.0,6
17,1,3.75,3.5,4.25,4.5,50,98,81,-1,55,-1,-1,92,-1,0,-1,-1,0,1,0,0,4,5.63,1,4,0,1,1,Szabolcs-Szatmár-Bereg Vármegye,0.0,7
17,0,4.75,3.5,4.0,3.0,40,77,90,18,-1,-1,69,-1,1,-1,-1,1,-1,0,0,0,3,6.62,0,6,0,1,0,Pest Vármegye,0.0,8
17,1,4.75,4.0,4.5,4.25,70,95,92,-1,-1,93,60,-1,-1,-1,1,0,-1,1,0,0,2,3.55,0,6,0,3,0,Borsod-Abaúj-Zemplén Vármegye,1.0,9
18,0,4.5,4.25,4.0,3.75,85,82,53,60,-1,-1,64,-1,0,-1,-1,1,-1,0,0,0,3,6.44,0,3,0,2,0,Jász-Nagykun-Szolnok Vármegye,0.0,10
19,0,2.75,4.5,4.5,4.5,97,81,95,80,-1,-1,86,-1,1,-1,-1,0,-1,0,0,1,1,5.34,1,2,0,2,0,Zala Vármegye,0.0,11
18,1,4.75,4.25,4.0,3.25,77,86,66,94,-1,-1,84,-1,0,-1,-1,0,-1,0,0,1,1,4.58,1,4,0,4,1,Tolna Vármegye,1.0,12
17,1,3.0,2.75,3.75,3.75,84,74,78,93,-1,-1,64,-1,0,-1,-1,1,-1,0,1,0,3,7.28,0,3,0,1,0,Csongrád Vármegye,0.0,13
19,0,3.5,3.75,4.25,4.25,60,90,80,-1,-1,91,85,-1,-1,-1,0,1,-1,0,0,1,4,5.93,1,5,1,1,0,Hajdú-Bihar Vármegye,0.0,14
18,1,3.5,3.25,3.5,4.5,94,70,78,-1,-1,55,86,-1,-1,-1,0,1,-1,0,1,0,2,4.13,1,6,0,1,0,Zala Vármegye,0.0,15
19,0,3.5,4.75,4.5,4.0,83,60,93,89,-1,-1,74,-1,0,-1,-1,1,-1,0,1,0,3,5.7,0,5,0,4,0,Nógrád Vármegye,0.0,16
19,0,4.75,4.0,2.25,3.75,85,95,97,-1,88,-1,67,-1,-1,0,-1,0,-1,0,0,1,2,3.52,1,1,0,3,0,Komárom-Esztergom Vármegye,0.0,17
17,1,3.0,4.5,4.25,4.25,69,76,71,-1,-1,71,40,-1,-1,-1,0,0,-1,0,1,0,1,2.79,0,3,0,1,0,Szabolcs-Szatmár-Bereg Vármegye,0.0,18
18,0,3.25,4.25,3.5,4.25,89,65,62,-1,94,-1,-1,73,-1,0,-1,-1,0,0,1,0,3,5.67,0,2,0,4,0,Budapest,0.0,19
19,0,4.0,4.25,4.75,2.75,37,82,80,82,-1,-1,88,-1,1,-1,-1,0,-1,0,1,0,3,6.32,1,4,0,4,0,Zala Vármegye,0.0,20
19,0,3.0,4.5,4.75,3.25,88,91,71,70,-1,-1,-1,92,0,-1,-1,-1,0,1,1,0,2,6.29,0,4,0,2,0,Jász-Nagykun-Szolnok Vármegye,0.0,21
19,1,4.25,3.5,4.5,3.25,84,87,94,-1,-1,99,85,-1,-1,-1,0,1,-1,0,1,0,2,4.92,1,5,0,1,1,Fejér Vármegye,1.0,22
19,0,3.5,4.25,4.0,2.5,48,73,64,40,-1,-1,71,-1,0,-1,-1,1,-1,0,0,0,2,4.3,1,5,0,1,0,Nógrád Vármegye,0.0,23
18,1,2.75,2.5,2.5,4.0,75,57,31,-1,-1,59,56,-1,-1,-1,0,0,-1,1,0,0,3,6.98,1,2,0,1,1,Budapest,1.0,24
19,0,3.75,2.75,4.5,4.5,78,89,72,-1,96,-1,62,-1,-1,0,-1,0,-1,0,0,1,3,6.6,0,1,0,2,0,Tolna Vármegye,0.0,25
17,1,4.75,3.5,3.5,4.25,87,80,67,72,-1,-1,-1,57,1,-1,-1,-1,0,1,0,0,3,8.14,1,3,0,2,0,Békés Vármegye,1.0,26
